,events.out.tfevents.1556881305.gpu19
195,49.22999954223633
391,64.22000122070312
587,68.51000213623047
783,77.08000183105469
979,78.19000244140625
1175,78.31999969482422
1371,81.3499984741211
1567,82.25
1763,81.05000305175781
1959,81.58999633789062
2155,82.75
2351,84.11000061035156
2547,84.0999984741211
2743,81.44999694824219
2939,84.13999938964844
3135,84.44999694824219
3331,85.11000061035156
3527,84.80999755859375
3723,85.80000305175781
3919,84.11000061035156
4115,86.23999786376953
4311,84.97000122070312
4507,84.48999786376953
4703,85.4000015258789
4899,85.87999725341797
5095,85.08000183105469
5291,85.52999877929688
5487,84.52999877929688
5683,85.06999969482422
5879,85.91000366210938
6075,85.20999908447266
6271,85.55000305175781
6467,85.69000244140625
6663,86.08999633789062
6859,87.23999786376953
7055,85.9000015258789
7251,85.80999755859375
7447,87.04000091552734
7643,85.81999969482422
7839,86.58999633789062
8035,85.47000122070312
8231,86.80999755859375
8427,86.93000030517578
8623,86.44999694824219
8819,85.62999725341797
9015,86.95999908447266
9211,85.88999938964844
9407,86.7300033569336
9603,87.19999694824219
9799,87.7699966430664
9995,91.88999938964844
10191,92.19000244140625
10387,92.2699966430664
10583,92.55000305175781
10779,92.7300033569336
10975,92.83999633789062
11171,92.7300033569336
11367,92.87999725341797
11563,93.01000213623047
11759,92.80000305175781
11955,93.0199966430664
12151,92.75
12347,92.69999694824219
12543,93.01000213623047
12739,93.19000244140625
12935,93.23999786376953
13131,92.86000061035156
13327,93.2699966430664
13523,92.83000183105469
13719,92.80000305175781
13915,93.30000305175781
14111,93.41999816894531
14307,93.5
14503,93.61000061035156
14699,93.47000122070312
14895,93.45999908447266
15091,93.25
15287,93.52999877929688
15483,93.44999694824219
15679,93.56999969482422
15875,93.44000244140625
16071,93.4000015258789
16267,93.30999755859375
16463,93.43000030517578
16659,93.5
16855,93.5
17051,93.37999725341797
17247,93.43000030517578
17443,93.38999938964844
17639,93.4800033569336
17835,93.47000122070312
18031,93.37000274658203
18227,93.5199966430664
18423,93.44999694824219
18619,93.55999755859375
18815,93.29000091552734
19011,93.36000061035156
19207,93.37000274658203
19403,93.43000030517578
19599,93.36000061035156
19795,93.29000091552734
19991,93.52999877929688
20187,93.33000183105469
20383,93.16000366210938
20579,93.44999694824219
20775,93.5999984741211
20971,93.3499984741211
21167,93.41000366210938
21363,93.51000213623047
21559,93.06999969482422
21755,93.30000305175781
21951,93.23999786376953
22147,93.30000305175781
22343,93.36000061035156
22539,93.5199966430664
22735,93.06999969482422
22931,93.5199966430664
23127,93.31999969482422
23323,93.23999786376953
23519,93.0999984741211
23715,93.54000091552734
23911,93.43000030517578
24107,93.20999908447266
24303,93.36000061035156
24499,93.27999877929688
24695,93.27999877929688
24891,93.56999969482422
25087,93.16999816894531
25283,93.41999816894531
25479,92.97000122070312
25675,93.01000213623047
25871,93.26000213623047
26067,93.04000091552734
26263,93.43000030517578
26459,93.19000244140625
26655,93.38999938964844
26851,93.02999877929688
27047,93.2300033569336
27243,93.16000366210938
27439,93.1500015258789
27635,93.19000244140625
27831,93.30999755859375
28027,93.08000183105469
28223,93.12000274658203
28419,92.56999969482422
28615,93.13999938964844
28811,92.97000122070312
29007,93.05000305175781
29203,93.13999938964844
29399,92.94999694824219
29595,93.3499984741211
