,events.out.tfevents.1556441670.gpu2.cse.cuhk.edu.hk,events.out.tfevents.1556543746.gpu2.cse.cuhk.edu.hk
195,3.4887635707855225,3.4482789039611816
391,3.1256158351898193,2.9705677032470703
587,3.044936418533325,2.9800865650177
783,2.6363754272460938,2.53304123878479
979,2.418808698654175,2.4223623275756836
1175,2.0517938137054443,2.0484769344329834
1371,2.1437199115753174,2.2184653282165527
1567,2.0918068885803223,2.0913214683532715
1763,2.6694889068603516,2.4794368743896484
1959,1.9082269668579102,1.8939076662063599
2155,1.9185384511947632,1.9771792888641357
2351,2.074009895324707,2.1030232906341553
2547,1.7580552101135254,1.7848823070526123
2743,2.2372870445251465,2.156104564666748
2939,1.837552547454834,1.8089150190353394
3135,1.9639443159103394,2.0530364513397217
3331,1.6206570863723755,1.846604585647583
3527,1.6813040971755981,1.7542314529418945
3723,1.72355055809021,1.850698471069336
3919,1.8560837507247925,1.8195700645446777
4115,1.5481832027435303,1.4337642192840576
4311,1.847400188446045,1.8887617588043213
4507,1.895927906036377,1.871829867362976
4703,1.3452348709106445,1.4680813550949097
4899,1.8128247261047363,1.9936734437942505
5095,1.8529791831970215,1.8132288455963135
5291,1.7416355609893799,1.8171545267105103
5487,1.7371528148651123,1.822692632675171
5683,1.6428356170654297,1.8558945655822754
5879,1.5415750741958618,1.57683265209198
6075,1.9808008670806885,1.917553186416626
6271,1.753798007965088,2.0380969047546387
6467,1.6305437088012695,1.7418830394744873
6663,1.4126169681549072,1.3388575315475464
6859,1.8822990655899048,1.8015730381011963
7055,1.8804028034210205,1.9989709854125977
7251,1.4508006572723389,1.1514335870742798
7447,1.8113598823547363,1.7219544649124146
7643,1.475229024887085,1.5562645196914673
7839,1.6152260303497314,1.753162145614624
8035,1.6929619312286377,1.656463623046875
8231,1.7429345846176147,1.5797998905181885
8427,1.4862287044525146,1.409981608390808
8623,2.101222515106201,1.8677306175231934
8819,2.029237747192383,1.7961374521255493
9015,1.573593020439148,1.8007709980010986
9211,1.889570951461792,1.8759655952453613
9407,1.5411944389343262,1.3618006706237793
9603,1.4242637157440186,1.3230241537094116
9799,1.3298463821411133,1.403005838394165
9995,1.0926257371902466,1.0489137172698975
10191,1.2271714210510254,1.181201457977295
10387,0.9446171522140503,0.8521896600723267
10583,1.1354435682296753,1.099829912185669
10779,1.084235429763794,0.9677220582962036
10975,0.758878231048584,0.79901123046875
11171,0.7379602193832397,0.8113813400268555
11367,0.9358229637145996,0.9259206056594849
11563,0.8915058374404907,0.906104326248169
11759,0.7681922316551208,0.6929997205734253
11955,0.6784476637840271,0.6993757486343384
12151,0.5481585264205933,0.6516453623771667
12347,0.6162875890731812,0.6375510096549988
12543,0.7684478163719177,0.5436909198760986
12739,0.5517573356628418,0.43354618549346924
12935,0.7270475625991821,0.6026917695999146
13131,0.43590307235717773,0.4009177088737488
13327,0.6301260590553284,0.7655853033065796
13523,0.639075517654419,0.7912358641624451
13719,0.6087779998779297,0.5722302198410034
13915,0.48619019985198975,0.6045342087745667
14111,0.4362436532974243,0.4941619038581848
14307,0.6660186648368835,0.5559611320495605
14503,0.547696053981781,0.560258150100708
14699,0.4214504361152649,0.5076956152915955
14895,0.4194995164871216,0.4923515319824219
15091,0.49448874592781067,0.4682282507419586
15287,0.5452046394348145,0.680557370185852
15483,0.36891406774520874,0.4746984541416168
15679,0.6090629696846008,0.47624894976615906
15875,0.2883630096912384,0.2804182171821594
16071,0.5179558992385864,0.40673619508743286
16267,0.36180609464645386,0.3689044713973999
16463,0.343964159488678,0.3389490842819214
16659,0.4065662622451782,0.36484670639038086
16855,0.3693186342716217,0.2662264108657837
17051,0.402373343706131,0.45024096965789795
17247,0.44195443391799927,0.5332867503166199
17443,0.36019283533096313,0.40378159284591675
17639,0.4921857714653015,0.5252629518508911
17835,0.4018279016017914,0.4907812476158142
18031,0.3761674761772156,0.3287157118320465
18227,0.36691612005233765,0.29148706793785095
18423,0.4518297612667084,0.4224083721637726
18619,0.41009408235549927,0.4404585063457489
18815,0.31385502219200134,0.29047703742980957
19011,0.3460220694541931,0.2828909158706665
19207,0.4641953706741333,0.44070208072662354
19403,0.3358975946903229,0.31095027923583984
19599,0.3475415110588074,0.3819126486778259
19795,0.30108439922332764,0.2971867024898529
19991,0.3618202805519104,0.3828897476196289
20187,0.31587666273117065,0.28098517656326294
20383,0.3570491671562195,0.3475598394870758
20579,0.33974188566207886,0.477643221616745
20775,0.4059546887874603,0.3474881052970886
20971,0.3189777731895447,0.28853943943977356
21167,0.2903245687484741,0.38336238265037537
21363,0.40443021059036255,0.45325198769569397
21559,0.17391344904899597,0.2811806797981262
21755,0.26622700691223145,0.2524257302284241
21951,0.27166327834129333,0.23696467280387878
22147,0.24854713678359985,0.36416763067245483
22343,0.4615471065044403,0.2925947904586792
22539,0.2925427556037903,0.2871074080467224
22735,0.331868976354599,0.26362326741218567
22931,0.22168390452861786,0.23929038643836975
23127,0.41277503967285156,0.3997490406036377
23323,0.3169597089290619,0.278218150138855
23519,0.2459665983915329,0.2517302334308624
23715,0.3864055871963501,0.3245999217033386
23911,0.36507129669189453,0.3414672017097473
24107,0.3276064991950989,0.24098053574562073
24303,0.2879177927970886,0.26657891273498535
24499,0.29267147183418274,0.3372213840484619
24695,0.23734423518180847,0.365037739276886
24891,0.2661306858062744,0.2660134434700012
25087,0.5072420239448547,0.35258764028549194
25283,0.28017503023147583,0.20430327951908112
25479,0.2963050603866577,0.2184746116399765
25675,0.32817620038986206,0.40063485503196716
25871,0.2863052487373352,0.1651635617017746
26067,0.34887996315956116,0.2213382124900818
26263,0.27770835161209106,0.18172669410705566
26459,0.3201944828033447,0.28537434339523315
26655,0.2901771664619446,0.26743581891059875
26851,0.3920075595378876,0.2694195806980133
27047,0.2618074119091034,0.2778225541114807
27243,0.21865850687026978,0.30521899461746216
27439,0.21386289596557617,0.28274330496788025
27635,0.25039833784103394,0.25306621193885803
27831,0.3136502504348755,0.31795603036880493
28027,0.26395583152770996,0.2083965241909027
28223,0.27735620737075806,0.21131984889507294
28419,0.3129270374774933,0.21628324687480927
28615,0.23964473605155945,0.2020251303911209
28811,0.21726232767105103,0.20898905396461487
29007,0.2904120683670044,0.25891172885894775
29203,0.4017592668533325,0.2608094811439514
29399,0.2569381892681122,0.2974766194820404
29595,0.20582076907157898,0.13807803392410278
